MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,MoSold,SaleType,SaleCondition,Id,LotFrontage,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,X1stFlrSF,X2ndFlrSF,LowQualFinSF,GrLivArea,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,MiscVal,YrSold,SalePrice
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,1,0,1,0,3,1,TA,5,Typ,0,None,Detchd,Unf,1,TA,TA,Y,None,None,None,2,WD,Normal,11,70,11200,1965,1965,0,906,0,134,1040,1040,0,0,1040,1965,384,0,0,0,0,0,0,0,2008,129500
60,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,TA,TA,Y,None,None,None,7,New,Partial,12,85,11924,2005,2006,286,998,0,177,1175,1182,1142,0,2324,2005,736,147,21,0,0,0,0,0,2006,345000
20,RL,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,1,0,1,0,2,1,TA,4,Typ,0,None,Detchd,Unf,1,TA,TA,Y,None,None,None,9,WD,Normal,13,0,12968,1962,1962,0,737,0,175,912,912,0,0,912,1962,352,140,0,0,0,176,0,0,2008,144000
20,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,None,None,None,8,New,Partial,14,91,10652,2006,2007,306,0,0,1494,1494,1494,0,0,1494,2006,840,160,33,0,0,0,0,0,2007,279500
20,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,RFn,1,TA,TA,Y,None,GdWo,None,5,WD,Normal,15,0,10920,1960,1960,212,733,0,520,1253,1253,0,0,1253,1960,352,0,213,176,0,0,0,0,2008,157000
45,RM,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseA,0,0,1,0,2,1,TA,5,Typ,0,None,Detchd,Unf,2,TA,TA,Y,None,GdPrv,None,7,WD,Normal,16,51,6120,1929,2001,0,0,0,832,832,854,0,0,854,1991,576,48,112,0,0,0,0,0,2007,132000
20,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,None,None,Shed,3,WD,Normal,17,0,11241,1970,1970,180,578,0,426,1004,1004,0,0,1004,1970,480,0,0,0,0,0,0,700,2010,149000
90,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,Slab,None,None,None,None,None,GasA,TA,Y,SBrkr,0,0,2,0,2,2,TA,6,Typ,0,None,CarPort,Unf,2,TA,TA,Y,None,None,Shed,10,WD,Normal,18,72,10791,1967,1967,0,0,0,0,0,1296,0,0,1296,1967,516,0,0,0,0,0,0,500,2006,90000
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,1,1,3,1,Gd,6,Typ,0,None,Detchd,Unf,2,TA,TA,Y,None,None,None,6,WD,Normal,19,66,13695,2004,2004,0,646,0,468,1114,1114,0,0,1114,2004,576,0,102,0,0,0,0,0,2008,159000
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,BrkFace,Plywood,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,SBrkr,0,0,1,0,3,1,TA,6,Min1,0,None,Attchd,Unf,1,TA,TA,Y,None,MnPrv,None,5,COD,Abnorml,20,70,7560,1958,1965,0,504,0,525,1029,1339,0,0,1339,1958,294,0,0,0,0,0,0,0,2009,139000
60,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,TA,TA,Y,None,None,None,11,New,Partial,21,101,14215,2005,2006,380,0,0,1158,1158,1158,1218,0,2376,2005,853,240,154,0,0,0,0,0,2006,325300
45,RM,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,Unf,GasA,Ex,Y,FuseF,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,TA,TA,N,None,GdPrv,None,6,WD,Normal,22,57,7449,1930,1950,0,0,0,637,637,1108,0,0,1108,1930,280,0,0,205,0,0,0,0,2007,139400
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,None,None,None,9,WD,Normal,23,75,9742,2002,2002,281,0,0,1777,1777,1795,0,0,1795,2002,534,171,159,0,0,0,0,0,2008,230000
120,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,TA,TA,Y,None,None,None,6,WD,Normal,24,44,4224,1976,1976,0,840,0,200,1040,1060,0,0,1060,1976,572,100,110,0,0,0,0,0,2007,129900
20,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,Gable,CompShg,Plywood,Plywood,None,TA,Gd,CBlock,TA,TA,Mn,Rec,ALQ,GasA,Ex,Y,SBrkr,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,1,TA,TA,Y,None,MnPrv,None,5,WD,Normal,25,0,8246,1968,2001,0,188,668,204,1060,1060,0,0,1060,1968,270,406,90,0,0,0,0,0,2010,154000
20,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,None,None,None,7,WD,Normal,26,110,14230,2007,2007,640,0,0,1566,1566,1600,0,0,1600,2007,890,0,56,0,0,0,0,0,2009,256300
20,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,BLQ,Rec,GasA,TA,Y,SBrkr,0,1,1,0,3,1,Gd,5,Typ,0,None,Detchd,Unf,2,TA,TA,Y,None,None,None,5,WD,Normal,27,60,7200,1951,2000,0,234,486,180,900,900,0,0,900,2005,576,222,32,0,0,0,0,0,2010,134800
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,None,None,None,5,WD,Normal,28,98,11478,2007,2008,200,1218,0,486,1704,1704,0,0,1704,2008,772,0,50,0,0,0,0,0,2010,306000
20,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Gd,BLQ,Unf,GasA,TA,Y,SBrkr,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,RFn,1,TA,TA,Y,None,None,None,12,WD,Normal,29,47,16321,1957,1997,0,1277,0,207,1484,1600,0,0,1600,1957,319,288,258,0,0,0,0,0,2006,207500
30,RM,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Fa,N,SBrkr,0,0,1,0,1,1,Fa,4,Typ,0,None,Detchd,Unf,1,Fa,TA,Y,None,None,None,5,WD,Normal,30,60,6324,1927,1950,0,0,0,520,520,520,0,0,520,1920,240,49,0,87,0,0,0,0,2008,68500
70,C (all),Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,Gambrel,CompShg,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,TA,No,Unf,Unf,GasA,TA,N,SBrkr,0,0,1,0,3,1,TA,6,Typ,0,None,Detchd,Unf,1,TA,Fa,N,None,MnPrv,None,7,WD,Normal,31,50,8500,1920,1950,0,0,0,649,649,649,668,0,1317,1920,250,0,54,172,0,0,0,0,2008,40000
20,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,0,0,1,1,3,1,Gd,6,Typ,0,None,Attchd,Unf,1,TA,TA,Y,None,MnPrv,None,6,WD,Normal,32,0,8544,1966,2006,0,0,0,1228,1228,1228,0,0,1228,1966,271,0,65,0,0,0,0,0,2008,149350
20,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,RFn,2,TA,TA,Y,None,None,None,1,WD,Normal,33,85,11049,2007,2007,0,0,0,1234,1234,1234,0,0,1234,2007,484,0,30,0,0,0,0,0,2008,179900
20,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,None,None,None,4,WD,Normal,34,70,10552,1959,1959,0,1018,0,380,1398,1700,0,0,1700,1959,447,0,38,0,0,0,0,0,2010,165500
120,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,TA,TA,Y,None,None,None,8,WD,Normal,35,60,7313,2005,2005,246,1153,0,408,1561,1561,0,0,1561,2005,556,203,47,0,0,0,0,0,2007,277500
60,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Ex,Y,SBrkr,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,TA,TA,Y,None,None,None,9,WD,Normal,36,108,13418,2004,2005,132,0,0,1117,1117,1132,1320,0,2452,2004,691,113,32,0,0,0,0,0,2006,309000
20,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,0,0,1,1,3,1,TA,6,Typ,0,None,Attchd,Unf,2,TA,TA,Y,None,None,None,6,WD,Normal,37,112,10859,1994,1995,0,0,0,1097,1097,1097,0,0,1097,1995,672,392,64,0,0,0,0,0,2009,145000
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,None,None,None,10,WD,Normal,38,74,8532,1954,1990,650,1213,0,84,1297,1297,0,0,1297,1954,498,0,0,0,0,0,0,0,2009,153000
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,GasA,TA,Y,SBrkr,1,0,1,0,3,1,Gd,5,Typ,0,None,Detchd,Unf,1,TA,TA,Y,None,None,None,1,WD,Abnorml,39,68,7922,1953,2007,0,731,0,326,1057,1057,0,0,1057,1953,246,0,52,0,0,0,0,0,2010,109000
90,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,Gable,CompShg,AsbShng,Plywood,None,TA,TA,PConc,None,None,None,None,None,GasA,TA,N,FuseP,0,0,2,0,2,2,Fa,6,Typ,0,None,None,None,0,None,None,N,None,None,None,6,WD,AdjLand,40,65,6040,1955,1955,0,0,0,0,0,1152,0,0,1152,NA,0,0,0,0,0,0,0,0,2008,82000
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,None,GdWo,None,12,WD,Abnorml,41,84,8658,1965,1965,101,643,0,445,1088,1324,0,0,1324,1965,440,0,138,0,0,0,0,0,2006,160000
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,Gd,BLQ,Unf,GasA,Gd,Y,SBrkr,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,RFn,1,TA,TA,P,None,None,None,7,WD,Normal,42,115,16905,1959,1959,0,967,0,383,1350,1328,0,0,1328,1959,308,0,104,0,0,0,0,0,2007,170000
85,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,LwQ,GasA,Gd,Y,SBrkr,1,0,1,0,2,1,Gd,5,Typ,0,None,Attchd,RFn,2,TA,Gd,Y,None,MnPrv,None,12,WD,Normal,43,0,9180,1983,1983,0,747,93,0,840,884,0,0,884,1983,504,240,0,0,0,0,0,0,2007,144000
20,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,Hip,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,LwQ,BLQ,GasA,TA,Y,SBrkr,1,0,1,0,3,1,TA,5,Typ,0,None,Detchd,Unf,1,TA,TA,Y,None,MnPrv,None,7,WD,Normal,44,0,9200,1975,1980,0,280,491,167,938,938,0,0,938,1977,308,145,0,0,0,0,0,0,2008,130250
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,BLQ,GasA,Ex,Y,FuseA,1,0,1,0,3,1,TA,6,Typ,0,None,Attchd,RFn,1,TA,TA,Y,None,None,None,5,WD,Normal,45,70,7945,1959,1959,0,179,506,465,1150,1150,0,0,1150,1959,300,0,0,0,0,0,0,0,2006,141000
120,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,None,None,None,2,WD,Normal,46,61,7658,2005,2005,412,456,0,1296,1752,1752,0,0,1752,2005,576,196,82,0,0,0,0,0,2010,319900
50,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,1,0,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,RFn,2,TA,TA,Y,None,None,None,8,WD,Abnorml,47,48,12822,2003,2003,0,1351,0,83,1434,1518,631,0,2149,2003,670,168,43,0,0,198,0,0,2009,239686
20,FV,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,0,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,RFn,3,TA,TA,Y,None,None,None,7,WD,Normal,48,84,11096,2006,2006,0,24,0,1632,1656,1656,0,0,1656,2006,826,0,146,0,0,0,0,0,2007,249700
190,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,0,0,2,0,2,3,TA,8,Typ,0,None,None,None,0,None,None,N,None,None,None,6,New,Partial,49,33,4456,1920,2008,0,0,0,736,736,736,716,0,1452,NA,0,0,0,102,0,0,0,0,2009,113000
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Ex,Y,SBrkr,1,0,1,0,3,1,TA,6,Typ,0,None,Attchd,Unf,1,TA,TA,Y,None,MnPrv,None,1,WD,Normal,50,66,7742,1966,1966,0,763,0,192,955,955,0,0,955,1966,386,0,0,0,0,0,0,0,2007,127000
60,RL,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Gd,Y,SBrkr,0,1,2,0,3,1,TA,6,Typ,0,None,Attchd,Fin,2,TA,TA,Y,None,None,None,7,WD,Normal,51,0,13869,1997,1997,0,182,0,612,794,794,676,0,1470,1997,388,0,75,0,0,0,0,0,2007,177000
